Kategorie	Mapping nach	Mapping von 1	Mapping von 2	Mapping von 3	usw. ...																							
Technologie	Oracle	Oracle																										
Technologie	Orcad	Orcad	OrCad																									
Technologie	Organisationsentw.	Organisationsentw.																										
Technologie	Palm OS	Palm OS																										
Technologie	Patent Werkzeug-wechsel und 4-Nadelkopf	Patent Werkzeug-wechsel und 4-Nadelkopf																										
Technologie	Patterns	Patterns																										
Technologie	PCI-Express	PCI-Express																										
Technologie	PDM/PLM-System	PDM/PLM-System																										
Technologie	PEP	PEP																										
Technologie	Perforce	Perforce																										
Technologie	Perl	Perl																										
Technologie	PHP	PHP																										
Technologie	PKI	PKI																										
Technologie	Plastics Technology	Plastics Technology																										
Technologie	PorE	PorE																										
Technologie	Postgres	Postgres																										
Technologie	Präzisionspositionierung	Präzisionspositionierung																										
Technologie	Pre Engineered Modules	Pre Engineered Modules																										
Technologie	Pro/Mechanica (FEM)	Pro/Mechanica (FEM)																										
Technologie	Problemanalyse	Problemanalyse																										
Technologie	Produktion	Produktion	Produktion IT																									
Technologie	Produktplattform	Produktplattform																										
Technologie	ProEngineer	ProEngineer	PROEngineer	ProEngineer WF4	Pro Engineer	Pro/E																						
Technologie	Projekt- und Prozessmanagement Coaching	Projekt- und Prozessmanagement Coaching																										
Technologie	Projektleitung Informatik	Projektleitung Informatik																										
Technologie	Projektmanagement	Projektmanagement																										
Technologie	Prozessmanagement	Prozessmanagement																										
Technologie	Purify	Purify																										
Technologie	Python	Python	python	Python und Boost																								
Technologie	QF-Test	QF-Test																										
Technologie	QMBridge	QMBridge																										
Technologie	Quartus	Quartus																										
Technologie	Quartz	Quartz																										
Technologie	Quast	Quast																										
Technologie	Rational ClearCase	Rational ClearCase																										
Technologie	Rational ClearQuest	Rational ClearQuest	RationalClearQuest																									
Technologie	Rational Method Composer (RMC)	Rational Method Composer (RMC)																										
Technologie	Rational Robot	Rational Robot																										
Technologie	Rational Rose	Rational Rose																										
Technologie	Rational Software Architect	Rational Software Architect																										
Technologie	Rational Test Manager	Rational Test Manager																										
Technologie	RCS	RCS																										
Technologie	Real-Time and Embedded Software	Real-Time and Embedded Software																										
Technologie	Realisierung	Realisierung																										
Technologie	Realtime Workshop	Realtime Workshop																										
Technologie	Reengineering Steuerungssoftware	Reengineering Steuerungssoftware																										
Technologie	Requisite Pro	Requisite Pro	RequisitePro																									
Technologie	Retrospectives	Retrospectives																										
Technologie	Review	Review																										
Technologie	RFID	RFID																										
Technologie	Rhapsody	Rhapsody																										
Technologie	Risikominimierung	Risikominimierung																										
Technologie	Risk Management Change Management	Risk Management Change Management																										
Technologie	Robot	Robot																										
Technologie	RogueWave	RogueWave																										
Technologie	RTOS	RTOS																										
Technologie	Ruby on Rails	Ruby on Rails	Ruby																									
Technologie	RUP	RUP																										
Technologie	SAP	SAP																										
Technologie	Schulung	Schulung																										
Technologie	Sciopta RIOS	Sciopta RIOS																										
Technologie	SCONS	SCONS																										
Technologie	Scrum	Scrum																										
Technologie	SEI/CMM	SEI/CMM																										
Technologie	Select	Select																										
Technologie	Sensorik	Sensorik																										
Technologie	Server	Server																										
Technologie	SessionBeans	SessionBeans																										
Technologie	SGI	SGI																										
Technologie	Sicherstellung Realisierung der Anwendung	Sicherstellung Realisierung der Anwendung																										
Technologie	Silverlight	Silverlight																										
Technologie	Simulink	Simulink																										
Technologie	Smart Clients	Smart Clients																										
Technologie	Smoke Test	Smoke Test	Smoketest																									
Technologie	Sniff	Sniff																										
Technologie	SOAP	SOAP																										
Technologie	SoapUI	SoapUI																										
Technologie	Software Ergonomie	Software Ergonomie																										
Technologie	Solaris	Solaris																										
Technologie	SolidWorks	SolidWorks	Solid Works																									
Technologie	Sotograph	Sotograph																										
Technologie	SourceGear Vault	SourceGear Vault																										
Technologie	Spezifikation der neuen Bancomat Generation	Spezifikation der neuen Bancomat Generation																										
Technologie	Spezifikation der neuen Postomat Generation	Spezifikation der neuen Postomat Generation																										
Technologie	SPR Knowledge Base	SPR Knowledge Base																										
Technologie	Spritzguss	Spritzguss																										
Technologie	SQL-Server	SQL-Server	SQL Server Intergration Services																									
Technologie	SSOSicherheitsarchitektur	SSOSicherheitsarchitektur																										
Technologie	Stateflow	Stateflow																										
Technologie	Stellantrieb	Stellantrieb																										
Technologie	Strategie	Strategie																										
Technologie	STREAM	STREAM																										
Technologie	Studie Connectivity	Studie Connectivity																										
Technologie	Subversion	Subversion																										
Technologie	Sun Solaris	Sun Solaris																										
Technologie	SW Analyse Tools	SW Analyse Tools																										
Technologie	SW-Architektur	SW-Architektur																										
Technologie	SW-Expertise	SW-Expertise																										
Technologie	Syncfusion	Syncfusion																										
Technologie	Systems Engineering	Systems Engineering																										
Technologie	Team Enabling	Team Enabling																										
Technologie	Team Foundation Server	Team Foundation Server	Team Foundation Server Infragistics																									
Technologie	Technology Evaluation	Technology Evaluation																										
Technologie	TFS	TFS																										
Technologie	ThreadX	ThreadX																										
Technologie	TIBCO	TIBCO	TIBCO RV																									
Technologie	TimeWinner	TimeWinner																										
Technologie	Together	Together																										
Technologie	TogetherCC	TogetherCC																										
Technologie	TogetherJ	TogetherJ																										
Technologie	Trac	Trac	trac																									
Technologie	Train/EAI	Train/EAI																										
Technologie	Treo 600	Treo 600																										
Technologie	Tuxedo	Tuxedo																										
Technologie	UBS MAP	UBS MAP																										
Technologie	UML	UML																										
Technologie	Usability Engineering	Usability Engineering																										
Technologie	V-Modell	V-Modell																										
Technologie	VBA	VBA																										
Technologie	VDI Wärmeatlas	VDI Wärmeatlas																										
Technologie	VHDL	VHDL																										
Technologie	Virtualisierung	Virtualisierung																										
Technologie	VisiBroker	VisiBroker																										
Technologie	Visual Studio	Visual Studio	Visual SourceSafe	Visual Source Safe	Visual Studio Team System	VisualStudio.	MS Visual Studio																					
Technologie	VxWorks	VxWorks																										
Technologie	Web 2.0	Web 2.0																										
Technologie	Webservices	Webservices	Web Services																									
Technologie	Websphere	Websphere	Websphere MQ																									
Technologie	WebTest	WebTest																										
Technologie	Windows	Windows																										
Technologie	Windows CE	Windows CE																										
Technologie	Windows Mobile	Windows Mobile																										
Technologie	Windows Share Point Services	Windows Share Point Services																										
Technologie	WinForms	WinForms																										
Technologie	Wireless	Wireless																										
Technologie	Wirkungsnetzanalyse	Wirkungsnetzanalyse																										
Technologie	WML	WML																										
Technologie	WPF	WPF																										
Technologie	XML	XML																										
Technologie	XPO2	XPO2																										
Technologie	XSL	XSL																										
Technologie	Zde Graph	Zde Graph																										
Technologie	ZEMAX	ZEMAX																										
Technologie	zentrale Datenverwaltung	zentrale Datenverwaltung																										
